,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,phone,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,dayssince,Winterfell,Astapor
32027,17.95,5.0,5.0,1.0,True,0.0,0,False,66.7,155,1,0
21429,14.48,4.8,4.5,1.0,False,0.0,4,False,100.0,166,1,0
12723,2.33,4.0,5.0,1.25,True,50.0,2,False,0.0,164,1,0
19995,2.51,4.8,4.3,1.07,False,7.1,2,False,78.6,157,0,0
735,2.8,4.9,4.7,1.0,True,0.0,3,False,55.6,166,0,0
36920,5.38,4.9,4.0,1.18,False,14.3,2,True,57.1,155,1,0
45306,2.3,4.6,4.8,1.14,False,13.6,12,False,72.7,180,0,1
41041,5.18,5.0,5.0,1.0,True,0.0,1,False,75.0,172,1,0
17305,12.15,4.8,5.0,1.0,True,0.0,0,False,60.0,171,1,0
515,4.95,5.0,5.0,1.25,True,25.0,3,False,25.0,165,0,0
33029,1.85,5.0,4.601559291274656,1.0,False,0.0,1,False,0.0,177,1,0
26756,3.07,4.9,5.0,1.22,False,35.7,18,True,53.0,170,0,0
37175,5.71,5.0,4.0,1.0,False,0.0,1,True,100.0,165,1,0
35842,3.49,4.8,4.8,1.06,False,5.9,10,True,64.7,179,1,0
15875,6.89,5.0,5.0,1.0,True,0.0,1,False,100.0,179,1,0
49149,10.4,4.9,4.9,1.0,False,0.0,1,False,78.6,158,1,0
20416,7.44,4.7,4.9,1.0,False,0.0,1,False,54.5,158,0,1
46585,4.68,5.0,5.0,1.0,True,0.0,2,False,50.0,165,1,0
18632,2.83,5.0,4.0,1.0,False,0.0,3,True,66.7,165,1,0
47982,5.7,5.0,5.0,1.0,False,0.0,1,False,0.0,172,1,0
6997,3.69,5.0,5.0,1.0,False,0.0,0,False,50.0,164,0,1
30067,16.32,5.0,4.5,1.0,False,0.0,2,True,100.0,164,0,0
7536,3.5,4.4,4.3,1.07,False,13.3,0,True,56.7,176,1,0
47622,5.1,5.0,5.0,1.0,False,0.0,1,True,12.5,158,0,0
8978,13.11,5.0,5.0,1.0,True,0.0,1,False,100.0,151,0,1
36016,11.93,5.0,5.0,1.0,True,0.0,3,False,66.7,151,0,1
3955,3.73,5.0,5.0,1.35,True,40.0,5,False,100.0,176,0,0
20973,5.51,4.8,4.8,1.0,False,0.0,0,True,100.0,170,0,1
21316,4.44,4.9,4.7,1.0,False,0.0,2,True,25.0,163,0,0
36767,0.9,4.5,5.0,1.5,True,50.0,0,False,100.0,173,1,0
29370,4.08,5.0,3.5,1.6,False,60.0,3,True,40.0,151,0,0
41398,2.0,4.5,5.0,1.08,False,12.4,18,True,68.0,162,0,0
23955,3.48,4.9,5.0,1.0,False,0.0,5,False,76.5,170,1,0
36894,10.36,5.0,4.601559291274656,1.0,False,0.0,1,False,0.0,163,0,1
46350,2.68,4.0,5.0,1.0,True,0.0,2,False,66.7,175,1,0
49013,5.66,5.0,4.601559291274656,1.0,False,0.0,0,False,100.0,174,0,1
43480,52.73,5.0,5.0,1.0,False,0.0,0,True,0.0,161,0,1
42639,8.34,5.0,4.601559291274656,1.0,False,0.0,0,False,100.0,174,0,1
19976,4.74,5.0,5.0,1.0,False,0.0,1,False,100.0,181,1,0
27148,16.59,5.0,5.0,1.0,True,0.0,3,False,0.0,170,0,1
25052,1.57,5.0,4.0,1.0,True,0.0,1,False,100.0,175,1,0
40421,14.71,5.0,5.0,1.08,True,12.5,4,True,68.8,161,0,0
24837,6.5,4.3,5.0,1.08,False,33.3,2,False,33.3,156,1,0
11152,2.07,5.0,5.0,1.0,True,0.0,1,True,0.0,157,0,0
42893,12.64,3.0,4.601559291274656,1.0,False,0.0,0,True,100.0,164,1,0
47089,2.14,5.0,5.0,1.0,False,0.0,0,False,33.3,159,0,0
25611,2.13,4.3,5.0,1.0,True,0.0,0,False,75.0,151,0,0
46909,9.18,5.0,5.0,1.0,False,0.0,0,False,100.0,164,1,0
2913,2.67,4.6,5.0,1.05,False,20.0,3,False,80.0,162,1,0
12849,2.04,4.0,4.601559291274656,1.0,False,0.0,1,True,100.0,175,1,0
17017,1.49,4.9,4.4,1.2,False,5.3,7,False,100.0,181,1,0
11846,0.95,5.0,4.601559291274656,1.0,True,0.0,1,False,100.0,168,1,0
16871,17.32,5.0,4.0,1.0,True,0.0,0,False,0.0,167,1,0
29846,4.64,5.0,5.0,1.0,True,0.0,0,False,100.0,157,0,1
14898,2.4,5.0,5.0,1.0,False,0.0,0,True,40.0,180,0,1
12209,5.1,4.9,4.5,1.1,True,8.0,4,True,56.0,162,1,0
34880,10.2,5.0,5.0,1.0,False,0.0,2,True,50.0,181,0,0
33412,6.17,4.7,4.7,1.58,False,100.0,0,False,0.0,154,1,0
39368,0.3,5.0,4.601559291274656,1.0,False,0.0,1,False,100.0,164,1,0
48925,4.61,4.8,3.5,1.17,False,15.8,4,True,31.6,178,0,1
37909,8.22,5.0,4.5,1.0,False,0.0,2,False,100.0,153,0,1
7046,3.5,4.8,5.0,1.07,True,10.0,4,False,20.0,173,1,0
15884,1.75,5.0,5.0,1.0,True,0.0,0,False,0.0,163,0,0
