,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,phone,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,dayssince,Winterfell,Astapor
19651,2.04,5.0,5.0,1.0,True,0.0,5,True,0.0,151,0,1
22378,4.5,5.0,5.0,1.0,False,0.0,3,False,66.7,165,1,0
23224,15.88,5.0,4.0,1.0,True,0.0,1,False,100.0,155,0,1
7796,7.56,4.5,4.0,1.0,False,0.0,7,True,75.0,173,1,0
14025,31.59,5.0,4.601559291274656,1.0,True,0.0,0,False,100.0,164,0,0
10040,1.71,4.6,5.0,1.0,False,0.0,3,False,33.3,175,1,0
9779,5.55,4.8,4.4,1.15,False,27.8,11,False,22.2,156,0,0
22958,2.91,5.0,5.0,1.0,True,0.0,0,False,0.0,151,1,0
31096,11.75,5.0,5.0,1.0,False,0.0,1,True,0.0,158,0,0
6378,5.82,4.3,5.0,1.25,False,33.3,2,True,0.0,170,1,0
42745,4.2,5.0,5.0,1.0,False,0.0,1,False,60.0,179,1,0
2873,3.27,4.6,4.3,1.09,False,9.1,0,True,54.5,178,1,0
32056,2.69,4.4,5.0,1.0,False,0.0,0,True,100.0,160,1,0
29781,4.73,5.0,5.0,1.63,False,50.0,3,False,0.0,171,0,1
46851,2.88,4.7,4.5,1.06,False,7.3,11,True,36.6,164,1,0
3611,2.26,5.0,4.4,1.78,False,50.0,5,True,25.0,172,0,1
18934,4.22,5.0,4.2,1.03,True,5.3,17,False,92.1,154,0,0
27025,2.48,5.0,4.601559291274656,1.0,False,0.0,1,True,0.0,165,1,0
31081,3.97,5.0,5.0,1.0,False,0.0,0,False,0.0,166,0,1
23429,4.17,5.0,5.0,1.0,True,0.0,1,True,50.0,152,0,1
39077,0.68,3.5,5.0,1.0,False,0.0,2,False,100.0,175,0,1
692,2.74,4.8,4.0,1.0,False,0.0,5,False,83.3,175,0,1
17652,2.0,5.0,5.0,1.0,False,0.0,1,True,50.0,160,1,0
4269,3.31,4.6,5.0,1.07,False,20.0,1,False,80.0,160,1,0
5989,2.55,4.8,4.6,1.14,False,12.5,10,True,66.7,175,1,0
40521,0.94,5.0,4.601559291274656,1.0,True,0.0,1,False,100.0,155,1,0
